,Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
320,2023-07-18,143352.46875,66525.4296875,56575.09765625,7259.39990234375,37356.6015625,15600.1708984375,22163.556640625
321,2023-07-19,142769.734375,66811.359375,56862.28125,7223.283203125,37117.13671875,15619.8427734375,21669.9375
322,2023-07-20,143546.71875,67287.90625,56479.37109375,7232.31298828125,37308.70703125,15550.9892578125,21275.041015625
323,2023-07-21,143935.203125,67097.28125,57436.64453125,7430.953125,37500.28125,15590.333984375,21225.677734375
324,2023-07-24,143935.203125,66430.125,56958.01171875,7114.93408203125,36877.66796875,15334.59375,20929.505859375
325,2023-07-25,144032.3125,66048.890625,59351.203125,6952.41064453125,36925.5625,14941.146484375,20633.333984375
326,2023-07-26,141992.765625,64333.3359375,58489.65234375,6771.828125,37739.74609375,14006.7099609375,20287.798828125
327,2023-07-27,144129.453125,67097.28125,58298.1953125,7015.6142578125,39463.89453125,14891.9658203125,19942.265625
328,2023-07-28,146363.25,65953.578125,59159.74609375,7250.37109375,38027.10546875,14852.62109375,20090.3515625
329,2023-07-31,148402.828125,66716.046875,58968.29296875,7205.22509765625,37643.95703125,14685.40625,20337.162109375
330,2023-08-01,153064.703125,68240.9921875,59734.11328125,8081.048828125,38218.67578125,14921.474609375,20485.248046875
331,2023-08-02,150733.765625,68240.9921875,59159.74609375,7458.0400390625,37739.74609375,15128.0341796875,20485.248046875
332,2023-08-03,151025.125,68908.1484375,58776.8359375,7719.88427734375,36829.77734375,15196.8876953125,20337.162109375
333,2023-08-04,151025.125,70147.1640625,59829.83984375,7656.6806640625,36925.5625,15187.05078125,20534.609375
334,2023-08-07,149762.546875,70623.703125,60308.48046875,7656.6806640625,36925.5625,15393.6103515625,21423.126953125
335,2023-08-08,148694.1875,69289.3828125,61074.30078125,7620.56396484375,36829.77734375,15196.8876953125,20534.609375
336,2023-08-09,149086.53125,69194.078125,59829.83984375,7611.53515625,36302.94921875,15442.7919921875,20781.419921875
337,2023-08-10,148301.859375,73197.0390625,59159.74609375,8243.572265625,36302.94921875,16465.75390625,20583.97265625
338,2023-08-11,148203.78125,70719.015625,59159.74609375,8035.9033203125,36590.3125,16711.658203125,20732.05859375
339,2023-08-14,145653.609375,72815.8046875,58298.1953125,8442.212890625,36686.09375,17114.94140625,20435.884765625
340,2023-08-16,140749.453125,70433.0859375,56670.82421875,8360.9501953125,36255.05859375,17016.580078125,20090.3515625
341,2023-08-17,138787.78125,68240.9921875,56670.82421875,8342.892578125,36398.73828125,16721.494140625,20238.4375
342,2023-08-18,136139.53125,67478.5234375,56096.4609375,8108.1357421875,35967.703125,16819.85546875,19942.265625
343,2023-08-21,137414.625,67001.9765625,56575.09765625,8126.1943359375,36446.6328125,16347.7197265625,19942.265625
344,2023-08-22,139278.203125,66525.4296875,56287.9140625,8135.22314453125,36494.5234375,16318.2109375,19843.541015625
345,2023-08-23,139180.125,66430.125,56479.37109375,8162.31005859375,37165.02734375,16131.32421875,19991.626953125
346,2023-08-24,140455.203125,66811.359375,55905.00390625,8532.50390625,36925.5625,16347.7197265625,19843.541015625
347,2023-08-25,139768.609375,67573.828125,55905.00390625,8424.154296875,37117.13671875,16337.8837890625,20337.162109375
348,2023-08-28,141730.28125,68717.53125,57053.734375,8424.154296875,37404.4921875,16623.1328125,20534.609375
349,2023-08-29,141828.359375,68431.609375,56958.01171875,8541.533203125,37739.74609375,16514.93359375,20485.248046875
350,2023-08-30,143005.359375,67764.4453125,56575.09765625,8658.9111328125,37500.28125,16426.408203125,20732.05859375
351,2023-08-31,141730.28125,67669.140625,56575.09765625,8893.66796875,37883.42578125,15993.6171875,21324.40234375
352,2023-09-01,146438.28125,68050.375,56000.73046875,8397.0673828125,37835.53125,16101.8154296875,22755.90234375
353,2023-09-04,147811.4375,70719.015625,57532.375,8360.9501953125,38170.78125,16072.306640625,22903.98828125
354,2023-09-05,146438.28125,70147.1640625,57436.64453125,8062.990234375,37979.20703125,15905.091796875,21867.384765625
355,2023-09-06,145457.4375,69098.765625,57819.55859375,7936.5830078125,38266.5703125,15757.548828125,22212.919921875
356,2023-09-07,143201.53125,68812.84375,60978.57421875,7855.32080078125,38410.25,15610.0068359375,21818.0234375
357,2023-09-08,144084.28125,69575.3125,64616.2265625,7990.75732421875,38458.140625,15944.4365234375,22015.470703125
358,2023-09-11,144476.609375,69956.546875,67775.2421875,7990.75732421875,38984.96484375,15737.876953125,22212.919921875
359,2023-09-12,143299.609375,69194.078125,67679.515625,7936.5830078125,38937.0703125,15895.255859375,22262.28125
360,2023-09-13,143790.03125,70051.8515625,68062.421875,7746.9716796875,39559.68359375,15944.4365234375,23446.970703125
361,2023-09-14,144967.03125,69670.6171875,66817.9609375,7692.796875,39894.93359375,16013.2900390625,22854.625
362,2023-09-15,148988.4375,69861.234375,67488.0625,7801.14599609375,41666.9765625,16367.3916015625,23693.78125
363,2023-09-18,147419.109375,69575.3125,68445.34375,7683.76806640625,41571.19140625,16691.986328125,26655.50390625
364,2023-09-19,148105.6875,72243.953125,67105.1484375,7503.185546875,41427.51171875,16573.951171875,27544.01953125
365,2023-09-20,149675.03125,71481.484375,64711.953125,7494.15673828125,42145.91015625,16387.064453125,27741.46875
366,2023-09-21,147026.78125,71100.25,62797.40234375,7358.72021484375,42385.375,15914.927734375,29271.69140625
367,2023-09-22,146438.28125,71100.25,64329.046875,7268.4287109375,42529.0546875,15846.0751953125,30258.931640625
368,2023-09-25,146634.4375,71004.9375,63467.49609375,7241.341796875,42098.01171875,16072.306640625,28383.173828125
369,2023-09-26,143397.703125,68526.9140625,62594.08984375,7078.818359375,41369.67578125,15924.7646484375,27741.46875
370,2023-09-27,143397.703125,68145.6796875,64340.90234375,7105.9052734375,41224.0078125,15865.7470703125,27988.27734375
371,2023-10-04,136139.53125,66334.8125,61817.73046875,6654.4501953125,40204.33203125,15649.3515625,26951.67578125
372,2023-10-05,133393.203125,67573.828125,59391.6015625,6482.8974609375,39718.76953125,15855.9111328125,27099.76171875
373,2023-10-06,132314.296875,67478.5234375,58324.10546875,6690.56640625,41563.8984375,15924.7646484375,27247.84765625
374,2023-10-10,135158.703125,69384.6953125,59294.5546875,6600.275390625,41903.7890625,14606.716796875,26655.50390625
375,2023-10-11,144476.609375,69098.765625,59585.69140625,6690.56640625,41321.1171875,14990.328125,27198.486328125
376,2023-10-12,156050.4375,68336.296875,59391.6015625,6681.53759765625,42000.90234375,14862.45703125,27840.19140625
377,2023-10-13,150557.765625,67573.828125,59003.421875,6618.33349609375,42243.6796875,14705.0791015625,27001.037109375
378,2023-10-16,148890.359375,66620.7421875,59100.46484375,6654.4501953125,42437.90625,15147.7060546875,25964.43359375
379,2023-10-17,149086.53125,66716.046875,59003.421875,6744.7412109375,41903.7890625,15255.904296875,26013.796875
380,2023-10-18,147026.78125,67383.2109375,60750.234375,6798.91552734375,42729.2421875,15059.1806640625,25964.43359375
